;J1;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J2;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J3;J30;J31;J32;J33;J34;J35;J36;J37;J38;J39;J4;J40;J41;J42;J43;J44;J45;J46;J47;J48;J49;J5;J50;J51;J52;J53;J54;J55;J56;J57;J58;J59;J6;J60;J61;J62;J63;J64;J65;J66;J67;J68;J69;J7;J70;J71;J72;J73;J74;J75;J76;J77;J78;J79;J8;J80;J81;J82;J83;J84;J85;J86;J87;J88;J89;J9;J90;J91;J92;J93;J94;J95;J96;J97;J98
Angel;exotique sucre agreable;Gr3;Gr2;fleuri doux ;fruite fort ;vanille epice esprit-des-iles;a-manger sucre;nourriture epice;sucre  ;dynamique jeunesse vie;homme ;Gr3;puissant masculin medicament;Gr2;particulier  ;Gr4;sucre ecoeurant fort;fort  ;boise nature ;fort;doux agreable ;femme ;soiree ;alcool;fort;epice chocolat ;printemps;acre fort;intense ;Gr5;Gr3;agressif;fruite pourri;Gr1;Gr6;doux rafine;fruite fort;sucre feminin jeune;fruite sucre attirant jeune ;fort pain-d epices amande;agressif piquant lourd ;amer piquant;fort;corce fort ;entetant ;fleuri ;miel ;vanille ;fruite sucre;piquant;Gr4;vanille ;angel fleuri prononce melange ;Gr3;sucre caramelise ;Gr6;fort femme-mure;chaud doux sucre femme_40_ans;lourd fort ;Gr3;boise masculin;sucre ;fort    ;fruite;epice ;fort attaquant;hiver ;chaud vanille;chaud ;epice mucs camphre;epice ;odeur-prenante ;suave subtil;entetant musc cuir;sucre brule;vanille sucre Thierry_Mugler;doux fruite;poivre fort sucre epice;chimique grand-mere ;tabac-froid  ;fruite chocolat angel lolita_lempicka;sucre ether fleuri alcool baba fleur-d oranger guimauve;vanille;Gr1;lourd;fleuri;poivre epice;vieille fort;fleuri grand-mere ;masculin;erotique;troisieme_age ;fleuri fort;tres-doux  ;barbe-a-papa  ;chaud sucre;fruite;caractere 
Aromatics Elixir;fort alcoolise grand-mere;Gr2;Gr2;fort homme ;capiteux grand-mere ;rude fort ;le-vieux ;menager cire;chimique non-naturel artificiel;agressif grand-mere ;talc grand-mere;Gr3;femme-d age-mur fleuri suffocant;hopital pharmaceutique;fort mauvais ;Gr2;artificiel pharmaceutique entretien;toilettes ancien eau-de-cologne;boise nature ;Gr1;desagreable piquante fort;doux fruite;fort ;alcool;piquant;femme  ;printemps;acre fort;le-vieux ;Gr4;Gr3;agressif;fruite pourri;agressif piquant;Gr5;agressif violent;eau-de-cologne ;musc ambre vieux;intense fort alcool  ;fort pain-d epices amande;agressif piquant lourd ;WC fort;fort;fort amer ;entetant ;fleuri ;fleuri rose;rose fleur;fruite sucre;piquant;fort poivre;fort fleuri;poivre menthole fort acide ;Gr1;fleuri interieur poudre;savon fort;fort femme-mure;grand-mere   ;lourd fort ;Gr3;boise masculin;fort chimique;fort masculin lourd evente ecoeurant;fort;vieux fort;fort attaquant;sucre ete;patchouli entetant;Gr5;ambre  vieux;piquant ;immonde fort;agressif chimique;entetant musc cuir;grand-mere ;fleuri grand-mere ;fort ;sucre fort fleuri ;chimique grand-mere ;agressif fort ;perime   ;sucre ether fleuri alcool baba fleur-d oranger guimauve;rose;Gr5;Gr1;epice;entretien ;vieille fort;fleuri grand-mere ;lourd;erotique;leger ;chimique ;aigre agressif entretien;doux  ;Gr3;volupte;femme-mure 
Chanel 5;savon propre ;Gr2;Gr2;Gr4;capiteux grand-mere ;toilettes  ;savon ;connu classique;chimique non-naturel artificiel;dynamique jeunesse vie;talc grand-mere;Gr1;puissant masculin medicament;hopital pharmaceutique;fort mauvais ;Gr2;artificiel pharmaceutique entretien;toilettes ancien eau-de-cologne;Gr3;leger;Gr5;fort ;fort ;alcool;savon;femme  ;frais;citronne ;toilette ;savon frais;Gr1;savon;savon-de-marseille ;agressif piquant;Gr5;medicament plante;WC ;musc ambre vieux;intense mal-de-tete fleuri lila enterement;doux fleuri grand-mere;fraicheur doux leger nature;WC fort;exotique;fort amer ;fort ;parfum-a-WC ;Gr4;vanille ;fruite sucre;piquant;naturel doux;fort fleuri;savon fort prononce  ;Gr2;fleuri interieur poudre;savon fort;savon toilettes;vieux savon  ;lourd fort ;Gr3;boise masculin;fort chimique;fort masculin lourd evente ecoeurant;fort;vieux fort;savon ;hiver ;patchouli entetant;Gr2;ambre  vieux;piquant ;immonde fort;agressif chimique;toilettes  ;grand-mere ;fleuri grand-mere ;attaque ;sucre fort  ;chimique grand-mere ;agressif fort ;perime   ;Noel USA vieux baba pot-pourri bouquet grand-mere ;rose;Gr4;entetant;epice;entretien ;vieille fort;fleuri grand-mere ;lourd;frais;troisieme_age ;chimique ;aigre agressif entretien;doux  ;Gr3;volupte;eau-de-cologne 
Cinema;fleuri lila ;Gr1;Gr3;fleuri artificiel herbe;fruite moyen ;sucre  ;doux ;nourriture epice;leger doux ;dynamique jeunesse vie;fruite ;Gr4;jeune frais fleuri;Gr1;discret fleuri faible;Gr2;sucre ecoeurant fort;fleuri sucre ;frais jeune fruite;Gr2;Gr4;Gr6;soiree ;chaud;Gr3;epice chocolat ;fruite;citronne ;le-vieux ;vanille ;Gr2;fleuri;fleuri ;Gr1;Gr3;doux rafine;sucre ;sucre feminin jeune;fleur-douce enivrant sucre nature fraicheur;doux fleuri ;fraicheur doux leger nature;discret leger;leger;corce fort ;fort ;chocolat grand-mere;fleuri rose;rose fleur;poivre ;ete;naturel doux;doux frais;fruite sucre doux leger ;Gr5;agrume  ;doux fruite;frais piquant;chaud doux sucre femme_40_ans;fleuri leger ;doux;fleuri ;fruite ;leger fleuri   ;chimique;doux ;sucre ;sucre ete;Gr3;fleuri frais;epice mucs camphre;fleuri acide;odeur-prenante ;fruite ;sucre fruite ;sucre brule;fleuri  ;fleuri champetre;sucre fort fleuri ;chevrefeuille grossier ;doux  ;hiver voluptueux chaud ;grand-mere transpiration toilettes    ;rose;Gr1;leger;fleuri;poivre epice;normaux ;doux  ;lourd;frais;leger discret;fleuri faible;doux  ;barbe-a-papa  ;piquant ;fruite;caractere 
Coco Mademoiselle;savon propre ;Gr4;Gr3;fleuri doux ;fruite moyen ;douceur fleuri ;doux ;connu classique;leger doux ;dynamique jeunesse vie;discret ;Gr3;jeune frais fleuri;Gr1;discret fleuri faible;Gr1;leger fruite ;doux fleuri ;doux  ;leger;desagreable piquante fort;doux fruite;nature frais;alcool;doux;fleuris  ;montagne;piquant ;fleuri ;Gr7;Gr2;plante;Gr2;doux ;Gr2;sensuel envoutant;sucre ;femme specifique ;fleuri fraicheur doux sucre ;doux fleuri ;fort piquant intense ;fruite doux;exotique;frais leger fruite;fleuri doux;Gr4;fruite ;Gr5;fruite sucre;Gr3;naturel doux;fleuri fruite;fruite sucre doux leger ;Gr5;sucre fleuri ;doux fruite;fort femme-m_re;fleuri chaud  ;doux epice fleuri;doux;fraicheur linge_propre;fleuri ;leger fleuri   ;masculin;doux ;doux ;sucre ete;Gr5;fruite ;fruite sucre frais;bebe ;doux discret;fruite ;vif herbes-fougeres;citrique ;fleuri  ;doux fruite;faible amer  ;fleuri rose delicat;agressif fort ;ete frais  ;vetiver plante-verte arbre frais printemps herbe-coupee fougere;rose;Gr2;Gr1;fleuri;fleuri ;normaux ;doux  ;lourd;erotique;leger discret;fleuri faible;tres-doux  ;nature doux piquant;piquant ;fruite;leger naturel
J adore (EP);savon propre ;Gr2;Gr1;fleuri doux ;sucre faible ;douceur fleuri ;fleuri ;connu classique;sucre  ;doux agreable bebe;fruite ;fort;femme-d age-mur fleuri suffocant;hopital pharmaceutique;discret fleuri faible;Gr1;leger fruite ;acre  ;doux  ;Gr1;doux agreable ;bain douche;doux ;chaud;doux;fleuris  ;montagne;acre fort;fruite sucre;savon frais;Gr2;fleuri;fleuri ;doux ;gel-douche fleuri fruite;fleuri prononce;Gr8;fleuri  ;doux proprete fraicheur savon ;frais citrus WC;fraicheur doux leger nature;discret leger;exotique;frais leger fruite;fleuri doux;fleuri ;fruite ;rose fleur;poivre ;ete;naturel doux;doux frais;fleuri sucre intense prononce chaleureux;Gr2;sucre caramelise ;lavande ;frais piquant;chaud doux sucre femme_40_ans;fleuri leger ;leger;fruite ;fruite ;leger fleuri   ;fruite;Gr5;Gr3;sucre ete;leger fleuri;fleuri frais;fleuri sucre ;fruite ;immonde fort;doux vegetal;sucre fruite ;citrique ;solvant chimique ;doux fruite;faible amer  ;fleuri rose delicat;doux  ;ete frais  ;Noel USA vieux baba pot-pourri bouquet grand-mere ;muguet;Gr2;sucre;sucre;fruite ;discret ;hypoallergenique bebe pharmacie;fleuri;erotique;leger ;fleuri fort;discret  ;doux  ;marine doux;fruite;fruite discret
J adore (ET);savon propre ;Gr3;Gr1;fleuri artificiel herbe;sucre faible ;douceur fleuri ;fleuri ;connu classique;leger doux ;dynamique jeunesse vie;discret ;Gr4;femme-d age-mur fleuri suffocant;Gr1;discret fleuri faible;Gr1;leger fruite ;fleuri sucre ;doux  ;leger;doux non-persistant ;bain douche;nature frais;fort;doux;fleuris  ;fruite;fruite ;fruite sucre;savon frais;Gr4;fleuri;savon-de-marseille ;Gr1;gel-douche fleuri fruite;fleuri prononce;Gr8;fleuri  ;doux proprete fraicheur savon ;fort fleuri ;fraicheur doux leger nature;discret leger;exotique;frais leger fruite;fleuri doux;fleuri ;fleuri rose;vanille ;fruite sucre;Gr3;naturel doux;doux frais;fleuri sucre intense prononce chaleureux;Gr4;sucre caramelise ;lavande ;doux ;chaud doux sucre femme_40_ans;doux epice fleuri;leger;fleuri ;fleuri ;leger fleuri   ;fruite;doux ;Gr3;sucre ete;Gr5;fruite ;fleuri sucre ;fruite ;doux discret;doux vegetal;vif herbes-fougeres;citrique ;solvant chimique ;doux fruite;sucre fort  ;fleuri rose delicat;toilettes  ;ete frais  ;Noel USA vieux baba pot-pourri bouquet grand-mere ;muguet;Gr3;lourd;fleuri;fruite ;normaux ;doux  ;fleuri;corse;leger ;fleuri faible;discret  ;doux  ;marine doux;passion;fruite discret
L instant;Gr3;Gr1;Gr1;fleuri doux ;fruite fort ;sucre  ;le-vieux ;fleuri ;sucre  ;agressif grand-mere ;talc grand-mere;fort;jeune frais fleuri;Gr2;fort  ;Gr2;sucre ecoeurant fort;acre  ;Gr3;fort;nourriture  ;doux fruite;doux ;chaud;doux;femme  ;montagne;piquant ;pistache amande;vanille ;Gr4;plante;savon-de-marseille ;doux ;Gr2;sensuel envoutant;Gr2;epice chaud ;fruite sucre attirant jeune ;fort fleuri ;agressif piquant lourd ;discret leger;leger;fort amer ;fort ;chocolat grand-mere;fruite ;vanille ;poivre ;Gr3;Gr3;vanille ;fleuri sucre intense prononce chaleureux;Gr5;acidite piquant ;lavande ;doux ;chaud doux sucre femme_40_ans;doux epice fleuri;leger;fleuri ;fruite ;ecoeurant fort   ;eau-de-cologne-pour-grand-meres;Gr5;sucre ;sucre ete;Gr3;Gr5;fruite sucre frais;bebe ;doux discret;doux vegetal;lourd ambre epice;sucre brule;fleuri  ;fleuri champetre;faible amer  ;chevrefeuille grossier ;fleuri doux vieux;hiver voluptueux chaud ;grand-mere transpiration toilettes    ;vanille;lourd;sucre;neutre;entretien ;discret ;excentrique  ;fleuri;corse;Gr6;fleuri fort;doux  ;doux  ;marine doux;printemps;femme-mure 
Lolita Lempicka;exotique sucre agreable;Gr1;Gr3;fleuri doux ;fruite moyen ;vanille epice esprit-des-iles;a-manger sucre;nourriture epice;sucre  ;doux agreable bebe;fruite ;Gr3;jeune frais fleuri;Gr2;discret fleuri faible;Gr4;sucre ecoeurant fort;fleuri  ;frais jeune fruite;leger;doux non-persistant ;bain douche;soiree ;chaud;Gr3;epice chocolat ;fruite;fruite ;intense ;vanille ;Gr4;fleuri;fleuri ;doux fruite;Gr3;doux rafine;sucre ;sucre feminin jeune;originalite equilibre tendresse douceur ;doux fleuri ;fraicheur doux leger nature;fruite doux;leger;corce fort ;fort ;Gr5;fruite ;fruite fruits-rouges;poivre ;piquant;fort poivre;bonbon sucre;fruite sucre doux leger ;Gr3;sucre caramelise ;Gr8;fort femme-mure;frais fleuri  ;doux epice fleuri;doux;fleuri ;fruite ;fort    ;fruite;epice ;fort attaquant;hiver ;chaud vanille;chaud ;epice mucs camphre;poivre ;fleuri ;fruite ;lourd ambre epice;sucre brule;vanille sucre Thierry_Mugler;Gr4;faible amer  ;chevrefeuille grossier ;fleuri doux vieux;fruite chocolat angel lolita_lempicka;Noel USA vieux baba pot-pourri bouquet grand-mere ;Gr2;Gr4;leger;epice;poivre epice;normaux ;doux  ;fleuri;estival;neutre discret;fleuri faible;tres-doux  ;barbe-a-papa  ;chaud sucre;asceptique;caractere 
Pleasures;Gr3;Gr2;Gr1;fort homme ;fruite fort ;sucre  ;fleuri ;fleuri ;pollen  ;dynamique jeunesse vie;discret ;Gr4;femme-d age-mur fleuri suffocant;Gr1;discret fleuri faible;Gr3;naturel  ;fleuri  ;doux  ;leger;Gr4;sucre ;doux ;fort;doux;fleuris  ;fruite;fruite ;fleuri ;Gr6;Gr4;fleuri;savon-de-marseille ;doux fruite;gel-douche fleuri fruite;fleuri prononce;Gr7;fleuri  ;intense mal-de-tete fleuri lila enterement;frais citrus WC;fraicheur doux leger nature;amer piquant;exotique;frais leger fruite;fleuri doux;Gr5;fleuri rose;vanille ;poivre ;piquant;naturel doux;fleuri fruite;fleuri sucre intense prononce chaleureux;Gr4;fleuri interieur poudre;Gr5;fort femme-mure;frais fleuri  ;fleuri leger ;leger;fleuri ;fleuri ;leger fleuri   ;fruite;nature ;doux ;sucre ete;leger fleuri;fleuri frais;fleuri sucre ;fleuri acide;doux discret;suave subtil;vif herbes-fougeres;citrique ;muguet  ;fleuri champetre;sucre fort  ;chevrefeuille grossier ;doux  ;ete frais  ;vetiver plante-verte arbre frais printemps herbe-coupee fougere;muguet;Gr3;Gr5;fleuri;fleuri ;discret ;fleuri grand-mere ;fleuri;fruite;leger ;fleuri fort;aigre agressif entretien;nature doux piquant;marine doux;printemps;leger naturel
