Produit;Paneliste;Appreciation_globale;Appreciation_texture
BCm;1;4;8
Bco_;1;4;2
Bmc_;1;8;1
Bo;1;6;6
Mb;1;6;8
MCb_;1;4;1
MCo;1;5;2
Moc_;1;6;8
Obc;1;2;9
obm_;1;7;10
obmc_;1;5;5
obmc1;1;3;6
obm2;1;5;5
Ocb_;1;3;2
OCm;1;3;1
Om_;1;6;8
BCm;2;4;6
Bco_;2;3;1
Bmc_;2;7;8
Bo;2;3;9
Mb;2;8;2
MCb_;2;5;0
MCo;2;6;5
Moc_;2;7;4
Obc;2;3;6
obm_;2;9;0
obmc_;2;6;5
obmc1;2;8;6
obm2;2;4;5
Ocb_;2;4;2
OCm;2;3;5
Om_;2;8;6
BCm;3;3;5
Bco_;3;6;1
Bmc_;3;7;6
Bo;3;8;5
Mb;3;7;8
MCb_;3;1;5
MCo;3;4;5
Moc_;3;6;1
Obc;3;4;6
obm_;3;8;2
obmc_;3;9;4
obmc1;3;3;6
obm2;3;2;2
Ocb_;3;3;6
OCm;3;3;4
Om_;3;9;8
BCm;4;4;5
Bco_;4;5;6
Bmc_;4;7;2
Bo;4;2;1
Mb;4;9;4
MCb_;4;5;5
MCo;4;3;6
Moc_;4;6;2
Obc;4;3;6
obm_;4;8;2
obmc_;4;7;1
obmc1;4;6;5
obm2;4;4;6
Ocb_;4;2;3
OCm;4;2;5
Om_;4;5;3
BCm;5;8;5
Bco_;5;7;4
Bmc_;5;7;8
Bo;5;5;2
Mb;5;6;6
MCb_;5;7;2
MCo;5;8;6
Moc_;5;6;3
Obc;5;4;1
obm_;5;4;6
obmc_;5;7;6
obmc1;5;5;2
obm2;5;6;1
Ocb_;5;6;8
OCm;5;6;9
Om_;5;7;6
BCm;6;2;2
Bco_;6;4;0
Bmc_;6;7;4
Bo;6;5;6
Mb;6;8;6
MCb_;6;3;4
MCo;6;3;5
Moc_;6;9;2
Obc;6;4;1
obm_;6;9;2
obmc_;6;8;6
obmc1;6;4;5
obm2;6;3;2
Ocb_;6;2;4
OCm;6;3;1
Om_;6;8;2
BCm;7;3;6
Bco_;7;1;5
Bmc_;7;6;2
Bo;7;6;1
Mb;7;8;5
MCb_;7;2;2
MCo;7;2;6
Moc_;7;4;2
Obc;7;3;1
obm_;7;8;5
obmc_;7;4;6
obmc1;7;3;2
obm2;7;5;1
Ocb_;7;1;8
OCm;7;2;2
Om_;7;4;1
BCm;8;3;6
Bco_;8;4;8
Bmc_;8;5;1
Bo;8;3;2
Mb;8;2;8
MCb_;8;5;9
MCo;8;4;10
Moc_;8;6;5
Obc;8;6;6
obm_;8;3;5
obmc_;8;7;2
obmc1;8;6;1
obm2;8;5;8
Ocb_;8;3;6
OCm;8;5;1
Om_;8;4;8
BCm;9;1;9
Bco_;9;1;2
Bmc_;9;1;0
Bo;9;4;5
Mb;9;7;4
MCb_;9;3;6
MCo;9;1;0
Moc_;9;5;5
Obc;9;10;6
obm_;9;6;5
obmc_;9;8;2
obmc1;9;5;5
obm2;9;10;6
Ocb_;9;2;5
OCm;9;3;1
Om_;9;10;6
BCm;10;5;5
Bco_;10;2;8
Bmc_;10;7;5
Bo;10;5;5
Mb;10;6;1
MCb_;10;3;6
MCo;10;1;2
Moc_;10;5;4
Obc;10;4;6
obm_;10;9;2
obmc_;10;5;6
obmc1;10;4;4
obm2;10;8;8
Ocb_;10;3;5
OCm;10;2;6
Om_;10;4;2
BCm;11;5;1
Bco_;11;3;4
Bmc_;11;9;5
Bo;11;7;6
Mb;11;9;2
MCb_;11;4;6
MCo;11;4;2
Moc_;11;6;1
Obc;11;6;5
obm_;11;9;6
obmc_;11;6;3
obmc1;11;5;5
obm2;11;5;3
Ocb_;11;5;5
OCm;11;5;4
Om_;11;7;8
BCm;12;3;2
Bco_;12;7;6
Bmc_;12;7;2
Bo;12;5;6
Mb;12;4;3
MCb_;12;8;1
MCo;12;8;6
Moc_;12;8;6
Obc;12;3;2
obm_;12;8;1
obmc_;12;7;8
obmc1;12;4;9
obm2;12;9;6
Ocb_;12;7;2
OCm;12;3;0
Om_;12;8;4
BCm;13;4;6
Bco_;13;1;6
Bmc_;13;7;4
Bo;13;6;5
Mb;13;9;2
MCb_;13;5;1
MCo;13;1;2
Moc_;13;5;6
Obc;13;8;5
obm_;13;7;2
obmc_;13;7;4
obmc1;13;5;1
obm2;13;5;2
Ocb_;13;1;6
OCm;13;2;5
Om_;13;7;8
BCm;14;8;2
Bco_;14;6;1
Bmc_;14;5;6
Bo;14;8;8
Mb;14;10;1
MCb_;14;9;2
MCo;14;5;8
Moc_;14;2;9
Obc;14;6;10
obm_;14;9;5
obmc_;14;2;6
obmc1;14;2;5
obm2;14;4;2
Ocb_;14;3;1
OCm;14;2;8
Om_;14;5;6
BCm;15;7;1
Bco_;15;6;8
Bmc_;15;7;9
Bo;15;3;2
Mb;15;9;0
MCb_;15;7;5
MCo;15;9;4
Moc_;15;9;6
Obc;15;8;0
obm_;15;6;5
obmc_;15;7;6
obmc1;15;7;5
obm2;15;5;2
Ocb_;15;5;5
OCm;15;5;6
Om_;15;7;5
BCm;16;2;1
Bco_;16;5;6
Bmc_;16;8;5
Bo;16;10;8
Mb;16;10;5
MCb_;16;7;5
MCo;16;4;1
Moc_;16;4;6
Obc;16;8;2
obm_;16;9;4
obmc_;16;10;6
obmc1;16;8;2
obm2;16;3;6
Ocb_;16;2;4
OCm;16;2;8
Om_;16;7;5
BCm;17;5;6
Bco_;17;5;2
Bmc_;17;9;1
Bo;17;7;4
Mb;17;8;5
MCb_;17;7;6
MCo;17;5;2
Moc_;17;7;6
Obc;17;7;2
obm_;17;3;1
obmc_;17;3;5
obmc1;17;7;6
obm2;17;7;3
Ocb_;17;3;5
OCm;17;2;3
Om_;17;8;5
BCm;18;4;4
Bco_;18;5;8
Bmc_;18;8;2
Bo;18;9;6
Mb;18;8;2
MCb_;18;3;6
MCo;18;6;3
Moc_;18;5;1
Obc;18;7;6
obm_;18;8;6
obmc_;18;7;2
obmc1;18;6;1
obm2;18;5;8
Ocb_;18;5;9
OCm;18;5;6
Om_;18;8;2
BCm;19;4;0
Bco_;19;3;4
Bmc_;19;6;6
Bo;19;8;6
Mb;19;8;4
MCb_;19;4;5
MCo;19;4;2
Moc_;19;8;1
Obc;19;6;2
obm_;19;9;6
obmc_;19;6;5
obmc1;19;7;2
obm2;19;8;4
Ocb_;19;3;1
OCm;19;4;2
Om_;19;8;6
BCm;20;7;5
Bco_;20;6;2
Bmc_;20;9;1
Bo;20;6;5
Mb;20;7;2
MCb_;20;8;6
MCo;20;8;2
Moc_;20;8;1
Obc;20;7;5
obm_;20;8;6
obmc_;20;8;2
obmc1;20;8;1
obm2;20;7;2
Ocb_;20;7;8
OCm;20;7;8
Om_;20;7;2
BCm;21;7;1
Bco_;21;5;6
Bmc_;21;10;8
Bo;21;8;1
Mb;21;10;2
MCb_;21;6;8
MCo;21;5;9
Moc_;21;7;10
Obc;21;4;5
obm_;21;9;6
obmc_;21;9;5
obmc1;21;6;2
obm2;21;8;1
Ocb_;21;3;8
OCm;21;3;6
Om_;21;8;1
BCm;22;4;8
Bco_;22;5;9
Bmc_;22;6;2
Bo;22;4;0
Mb;22;7;5
MCb_;22;8;4
MCo;22;3;6
Moc_;22;8;0
Obc;22;5;5
obm_;22;7;6
obmc_;22;6;5
obmc1;22;6;2
obm2;22;6;5
Ocb_;22;4;6
OCm;22;6;5
Om_;22;5;1
BCm;23;4;6
Bco_;23;6;5
Bmc_;23;8;8
Bo;23;7;5
Mb;23;9;5
MCb_;23;7;1
MCo;23;6;6
Moc_;23;3;2
Obc;23;9;4
obm_;23;7;6
obmc_;23;6;2
obmc1;23;6;6
obm2;23;5;4
Ocb_;23;5;8
OCm;23;6;5
Om_;23;8;6
BCm;24;2;2
Bco_;24;1;1
Bmc_;24;7;4
Bo;24;6;5
Mb;24;8;6
MCb_;24;1;2
MCo;24;2;6
Moc_;24;6;2
Obc;24;4;1
obm_;24;5;5
obmc_;24;7;6
obmc1;24;5;3
obm2;24;3;5
Ocb_;24;1;3
OCm;24;3;5
Om_;24;4;4
BCm;25;4;8
Bco_;25;2;2
Bmc_;25;9;6
Bo;25;8;2
Mb;25;8;6
MCb_;25;2;3
MCo;25;3;1
Moc_;25;6;6
Obc;25;5;6
obm_;25;9;2
obmc_;25;5;1
obmc1;25;6;8
obm2;25;7;9
Ocb_;25;3;6
OCm;25;4;2
Om_;25;5;0
BCm;26;3;4
Bco_;26;2;6
Bmc_;26;4;6
Bo;26;8;4
Mb;26;3;5
MCb_;26;3;2
MCo;26;3;1
Moc_;26;6;2
Obc;26;8;6
obm_;26;8;5
obmc_;26;5;2
obmc1;26;3;4
obm2;26;6;1
Ocb_;26;5;2
OCm;26;5;6
Om_;26;6;5
BCm;27;6;2
Bco_;27;1;1
Bmc_;27;8;5
Bo;27;6;2
Mb;27;6;6
MCb_;27;10;2
MCo;27;4;1
Moc_;27;10;5
Obc;27;6;6
obm_;27;9;2
obmc_;27;7;1
obmc1;27;8;2
obm2;27;6;8
Ocb_;27;2;8
OCm;27;2;2
Om_;27;7;1
BCm;28;4;6
Bco_;28;4;8
Bmc_;28;7;1
Bo;28;7;2
Mb;28;9;8
MCb_;28;6;9
MCo;28;6;10
Moc_;28;7;5
Obc;28;7;6
obm_;28;7;5
obmc_;28;8;2
obmc1;28;7;1
obm2;28;8;8
Ocb_;28;6;6
OCm;28;6;1
Om_;28;8;8
BCm;29;6;9
Bco_;29;2;2
Bmc_;29;6;0
Bo;29;7;5
Mb;29;8;4
MCb_;29;7;6
MCo;29;4;0
Moc_;29;7;5
Obc;29;4;6
obm_;29;8;5
obmc_;29;5;2
obmc1;29;8;5
obm2;29;5;6
Ocb_;29;4;5
OCm;29;1;1
Om_;29;4;6
BCm;30;2;5
Bco_;30;1;8
Bmc_;30;5;5
Bo;30;6;5
Mb;30;7;1
MCb_;30;7;6
MCo;30;6;2
Moc_;30;4;4
Obc;30;2;6
obm_;30;4;2
obmc_;30;6;6
obmc1;30;4;4
obm2;30;1;8
Ocb_;30;3;5
OCm;30;1;6
Om_;30;5;2
BCm;31;5;1
Bco_;31;2;4
Bmc_;31;5;5
Bo;31;5;6
Mb;31;10;2
MCb_;31;1;6
MCo;31;1;2
Moc_;31;7;1
Obc;31;4;5
obm_;31;3;6
obmc_;31;5;3
obmc1;31;2;5
obm2;31;8;3
Ocb_;31;2;5
OCm;31;2;4
Om_;31;4;8
BCm;32;5;2
Bco_;32;3;6
Bmc_;32;8;2
Bo;32;5;6
Mb;32;7;3
MCb_;32;9;1
MCo;32;2;6
Moc_;32;8;6
Obc;32;6;2
obm_;32;7;1
obmc_;32;7;8
obmc1;32;7;9
obm2;32;6;6
Ocb_;32;5;2
OCm;32;6;0
Om_;32;7;4
BCm;33;6;6
Bco_;33;5;6
Bmc_;33;5;4
Bo;33;2;5
Mb;33;7;2
MCb_;33;7;1
MCo;33;8;2
Moc_;33;8;6
Obc;33;4;5
obm_;33;8;2
obmc_;33;8;4
obmc1;33;7;1
obm2;33;6;2
Ocb_;33;2;6
OCm;33;5;5
Om_;33;5;2
BCm;34;2;1
Bco_;34;7;5
Bmc_;34;7;2
Bo;34;7;6
Mb;34;2;2
MCb_;34;3;1
MCo;34;6;5
Moc_;34;5;6
Obc;34;5;2
obm_;34;7;1
obmc_;34;8;2
obmc1;34;3;8
obm2;34;7;9
Ocb_;34;2;5
OCm;34;5;8
